discount,price,image_urls,title
54% Off,Rs.1999,https://cdn.shopclues.com/images/thumbnails/78276/280/1/101876702KonnectNEO4GMainImage1500026038.jpg,"Swipe Konnect Neo 4G (512 MB, 4 GB, Black)"
22% Off,Rs.6999,https://cdn.shopclues.com/images/thumbnails/57000/280/1/91808779-57000019-1516613294.jpg,Lenovo K3 Note 16GB  /Excellent Condition- (6 Months Seller Warranty)
17% Off,Rs.2999,https://cdn.shopclues.com/images/thumbnails/45066/280/1/115023954-45066434-1515393175.jpg,"iVooMi IV SMART 4G (512 MB,4 GB,Champagne Gold)"
17% Off,Rs.5799,https://cdn.shopclues.com/images/thumbnails/30889/280/1/871003508130992811439210548143927407014540458081492764824.jpg,Micromax Yureka Grey - (6 Months Brand Warranty)
36% Off,Rs.8300,https://cdn.shopclues.com/images/thumbnails/43194/280/1/REFURBISHEDMotorolaMotoXPlaySDL61703559614d2161492176387.jpg,Moto X Play(With Turbo Charger) 16GB - (6 Months Gadgetwood Warranty)
8% Off,Rs.9199,https://cdn.shopclues.com/images/thumbnails/43826/280/1/Xiaomi1488262506.jpg,Xiaomi Redmi Note 3 16GB (2GB RAM) - (6 months Seller Warranty)
35% Off,Rs.9100,https://cdn.shopclues.com/images/thumbnails/42625/280/1/motoxplay1000dpdx9fnm1492174971.jpg,Moto X Play 32GB  - (6 Months Gadgetwood Warranty)
5% Off,Rs.17999,https://cdn.shopclues.com/images/thumbnails/78470/280/1/8437361631UkY1SPZL1500297237.jpg,"Micromax Canvas Sliver 5 (2 GB,8 GB,Black)"
20% Off,Rs.7999,https://cdn.shopclues.com/images/thumbnails/42340/280/1/micromaxcanvaspulse4g14522509141470382710.jpg,Micromax pulse 4g E451 - (6 Months Brand Warranty)
22% Off,Rs.11199,https://cdn.shopclues.com/images/thumbnails/42834/280/1/96997230G4Plus1493192149.jpg,Moto G plus 4th Gen 32GB - (6 Months seller Warranty)
30% Off,Rs.10300,https://cdn.shopclues.com/images/thumbnails/40359/280/1/89300690E481144809547614570947351467303149.jpg,Micromax Canvas 5 481-(6 months Brand Warranty)
10% Off,Rs.5049,https://cdn.shopclues.com/images/thumbnails/48519/280/1/Untitled1480593577.jpg,"Karbonn K9 Viraat 4G (1 GB, 8 GB, Gold)"
25% Off,Rs.6299,https://cdn.shopclues.com/images/thumbnails/39289/280/1/94481600panasonicelugai2eb90s5oey2400x400imaeb79hzkt3gjpe14642585611466246360.jpg,"Panasonic Eluga i2 (2 GB, 16 GB, Grey)"
31% Off,Rs.8999,https://cdn.shopclues.com/images/thumbnails/37880/280/1/92889461micromaxe471knight2400x400imae8bvrtfcmehfw14525163681463892694.jpg,"Micromax E471 (2 GB, 16 GB, BLACK)"
